miller_up,miller_down
Plcl1,Inpp5d
Sh3bp4,Cd244
Gal3st2,5033414K04Rik
Gal3st2,Fuca2
Tnfrsf11a,Arhgap18
Lad1,Mical1
Slamf1,Itgb2
Slco5a1,Gna15
Ogfrl1,Havcr2
Idh1,Gm2a
Mreg,Plek
Rasal2,Anxa6
Rabgap1l,Cd68
Gpr52,Rrm2
Zbtb37,Plekhg3
Rcsd1,Jarid2
Herc4,Tgfbi
Adora2a,Dapk1
Efna2,Mctp1
9030607L17Rik,F2rl2
Pctk2,Gmds
Tmcc3,Fgd3
Gm10752,Wdfy2
Plekhg1,Gng2
Stx11,Grap2
Myb,Parvg
1110038D17Rik,Nr4a1
Nuak1,Sla
Plxnc1,5031439G07Rik
Socs2,Slc38a1
Tmtc2,Racgap1
Tmem19,Itgb7
Rassf3,Ciita
Dtx3,Tfrc
Pisd-ps1,Hlcs
Pus10,Mapk14
Gfpt2,Cyp4f16
Irf1,Myo1f
Zmynd15,H2-DMa
Tm4sf5,H2-DMb2
Eno3,H2-Ob
Arl5c,Zfp36l2
Cacnb1,Lmnb1
Ccr7,Lpxn
Fam49a,Entpd1
Socs2,Pik3ap1
Tmem18,Cacnb2
1700047I17Rik1,Gsn
Daam1,Arhgap15
Gm10432,Camk1d
Actn1,Plcb2
Gtf2a1,Ehd4
Ptpn21,Slc35c2
Eml5,Nfatc2
Itgb8,Il6ra
Serpinb6b,BC028528
Hivep1,Cd53
Aof1,Stmn1
Serinc5,Eif4g3
Net1,Sigmar1
Sox4,Stmn1
Slc22a23,Ccnb1
Cdc14b,Cenpa
Gm10021,Alox5ap
B930046C15Rik,Sh3tc1
3830406C13Rik,Naaa
E130112L23Rik,Unc119b
Zmym2,Lat2
Clu,Hk2
Ccdc122,Frmd4b
Epsti1,Plbd1
544988,Tgfb1
Gm3264,Rasgrp4
D830030K20Rik,Napsa
Hn1l,Tm6sf1
ENSMUSG00000079376,Pak1
Hn1l,Nucb2
D830030K20Rik,Itgax
D830030K20Rik,Ptpre
Gcap14,Fosb
Psme2,Ccnb1
Tbc1d4,E2f8
Dap,Fes
Laptm4b,Sult1a1
Apol7e,Stk32c
Gtpbp1,Jund
Cacnb3,Man2b1
Spats2,Adcy7
Slc4a8,Cd209a
Ankrd33b,Dpep2
Ankrd33b,Slc9a9
Ankrd33b,Anln
Rnf19a,Plekho2
Arc,Ccnb2
Adcy6,Cfp
Lima1,
Atf7ip2,
Snn,
Ift57,
Cblb,
Fam60a,
Rogdi,
Gm9861,
4921513D23Rik,
Dnm1l,
1700021K19Rik,
Ktelc1,
Cdgap,
Dzip3,
Samsn1,
Zfp160,
Zfp677,
Tmem8,
Abcg1,
H2-gs10,
H2-Q8,
H2-Q6,
Mmp25,
H2-T22,
H2-M2,
Foxp4,
Rftn1,
Pot1b,
Stap2,
Arhgap28,
Cdc42ep3,
Gypc,
Fam13b,
Pla2g16,
Iscu,
BC016495,
Papss2,
Pcgf5,
Stxbp3b,
AW112010,
Frmd4a,
Gm10851,
Il15ra,
Nostrin,
Ube2l6,
Phf21a,
Sema6d,
Stard7,
Insm1,
Stk4,
Pfkfb3,
Ehmt1,
Stxbp1,
Traf1,
Strbp,
Gtdc1,
Arl5a,
Vps39,
Rassf2,
Fam164a,
Rap2b,
Pias3,
Rnf115,
Gbp5,
Gbp2,
Gyg,
Gnb4,
E130311K13Rik,
Slc33a1,
Nudt17,
Polr3c,
BC037703,
Stxbp3a,
Vcam1,
Synpo2,
N28178,
Npr2,
Nans,
Galnt12,
Ttc39a,
Pik3r3,
Rnf19b,
Cdkn2b,
Eif2c1,
Oprd1,
Extl1,
Spsb1,
Mmp23,
Cc2d2a,
Anxa3,
Bmp2k,
Iscu,
BC023744,
BC023744,
BC023744,
BC023744,
Gatsl2,
Gatsl2,
Fscn1,
Sepsecs,
BC062109,
5830443L24Rik,
BC057170,
Gbp4,
Mpa2l,
Ssh1,
Mtif3,
N4bp2l1,
Fam40b,
Trim24,
Gimap4,
Herc5,
A930038C07Rik,
Asprv1,
Vhl,
Rasgef1a,
Usp18,
Clec2d,
Crebl2,
Aebp2,
B630005N14Rik,
Dok1,
Htra2,
Mxd1,
Mical3,
Eno2,
Tapbpl,
Fam60a,
4933426I21Rik,
Sdhaf1,
Il4i1,
Mex3b,
Ccdc90b,
Rab30,
Pgap2,
Il21r,
Prr14,
6030429G01Rik,
Relb,
Kcnk6,
1700067C01Rik,
Sdhaf1,
Lrrk1,
Fah,
Zfand6,
St5,
Fam53b,
Atp11a,
Lamp1,
Casp3,
D130040H23Rik,
Hsh2d,
2510049I19Rik,
Nlrc5,
Nlrc5,
Gins3,
Atmin,
Ap3m2,
D030016E14Rik,
Il15,
Tmem123,
Zfp809,
Scn4b,
Dscaml1,
Stoml1,
4921528I07Rik,
Ube1l,
C330006D17Rik,
Gramd1b,
Sik2,
Tspan3,
C230081A13Rik,
Mpi,
4922501C03Rik,
4930579C12Rik,
Rasa2,
E030011O05Rik,
Mtmr1,
Tbc1d8b,
Enox2,
Arhgef9,
Zmat1,
